 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    3.5853999999999999       eV
 efermi =   -7.2675180499999987       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1112310375E+001  -0.3284040571E-004   0.5706067254E-004   0.4922418266E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1075561066E+001  -0.3430786054E-004   0.5961039621E-004   0.5142373724E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1038811757E+001  -0.3591128456E-004   0.6239636828E-004   0.5382709479E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1002062448E+001  -0.3767028228E-004   0.6545265186E-004   0.5646364032E-001  -0.6671600000E-003   0.1159200000E-002
  -0.9653131394E+000  -0.3960836939E-004   0.6882010582E-004   0.5936862131E-001  -0.6671600000E-003   0.1159200000E-002
  -0.9285638304E+000  -0.4175398499E-004   0.7254814348E-004   0.6258466484E-001  -0.6671600000E-003   0.1159200000E-002
  -0.8918145214E+000  -0.4414182969E-004   0.7669705764E-004   0.6616378333E-001  -0.6671600000E-003   0.1159200000E-002
  -0.8550652124E+000  -0.4681465649E-004   0.8134113226E-004   0.7017005889E-001  -0.6671600000E-003   0.1159200000E-002
  -0.8183159034E+000  -0.4982569929E-004   0.8657286200E-004   0.7468328330E-001  -0.6671600000E-003   0.1159200000E-002
  -0.7815665944E+000  -0.5324201271E-004   0.9250875523E-004   0.7980396414E-001  -0.6671600000E-003   0.1159200000E-002
  -0.7448172854E+000  -0.5714913470E-004   0.9929743531E-004   0.8566031341E-001  -0.6671600000E-003   0.1159200000E-002
  -0.7080679764E+000  -0.6165769951E-004   0.1071311309E-003   0.9241815982E-001  -0.6671600000E-003   0.1159200000E-002
  -0.6713186674E+000  -0.6691297276E-004   0.1162622430E-003   0.1002952407E+000  -0.6671600000E-003   0.1159200000E-002
  -0.6345693584E+000  -0.7310882883E-004   0.1270276311E-003   0.1095821525E+000  -0.6671600000E-003   0.1159200000E-002
  -0.6272194966E+000  -0.7448251025E-004   0.1294144222E-003   0.1116411509E+000  -0.6671600000E-003   0.1159200000E-002
  -0.6198696348E+000  -0.7590654626E-004   0.1318887050E-003   0.1137756254E+000  -0.6671600000E-003   0.1159200000E-002
  -0.6125197730E+000  -0.7738362190E-004   0.1344551450E-003   0.1159896005E+000  -0.6671600000E-003   0.1159200000E-002
  -0.6051699112E+000  -0.7891660542E-004   0.1371187256E-003   0.1182873755E+000  -0.6671600000E-003   0.1159200000E-002
  -0.5978200494E+000  -0.8050856303E-004   0.1398847747E-003   0.1206735461E+000  -0.6671600000E-003   0.1159200000E-002
  -0.5904701876E+000  -0.8216277487E-004   0.1427589913E-003   0.1231530291E+000  -0.6671600000E-003   0.1159200000E-002
  -0.5831203258E+000  -0.8388275246E-004   0.1457474768E-003   0.1257310877E+000  -0.6671600000E-003   0.1159200000E-002
  -0.5757704640E+000  -0.8567225754E-004   0.1488567674E-003   0.1284133604E+000  -0.6671600000E-003   0.1159200000E-002
  -0.5684206022E+000  -0.8753532263E-004   0.1520938695E-003   0.1312058916E+000  -0.6671600000E-003   0.1159200000E-002
  -0.5610707404E+000  -0.8947627330E-004   0.1554662990E-003   0.1341151647E+000  -0.6671600000E-003   0.1159200000E-002
  -0.5537208786E+000  -0.9149975225E-004   0.1589821224E-003   0.1371481388E+000  -0.6671600000E-003   0.1159200000E-002
  -0.5463710168E+000  -0.9361074543E-004   0.1626500032E-003   0.1403122871E+000  -0.6671600000E-003   0.1159200000E-002
  -0.5390211550E+000  -0.9581461016E-004   0.1664792495E-003   0.1436156397E+000  -0.6671600000E-003   0.1159200000E-002
  -0.5316712932E+000  -0.9811710542E-004   0.1704798678E-003   0.1470668287E+000  -0.6671600000E-003   0.1159200000E-002
  -0.5243214314E+000  -0.1005244243E-003   0.1746626187E-003   0.1506751369E+000  -0.6671600000E-003   0.1159200000E-002
  -0.5169715696E+000  -0.1030432289E-003   0.1790390775E-003   0.1544505500E+000  -0.6671600000E-003   0.1159200000E-002
  -0.5096217078E+000  -0.1056806868E-003   0.1836216981E-003   0.1584038113E+000  -0.6671600000E-003   0.1159200000E-002
  -0.5022718460E+000  -0.1084445102E-003   0.1884238806E-003   0.1625464809E+000  -0.6671600000E-003   0.1159200000E-002
  -0.4949219842E+000  -0.1113429965E-003   0.1934600419E-003   0.1668909954E+000  -0.6671600000E-003   0.1159200000E-002
  -0.4875721224E+000  -0.1143850703E-003   0.1987456885E-003   0.1714507320E+000  -0.6671600000E-003   0.1159200000E-002
  -0.4802222606E+000  -0.1175803262E-003   0.2042974910E-003   0.1762400716E+000  -0.6671600000E-003   0.1159200000E-002
  -0.4728723988E+000  -0.1209390709E-003   0.2101333579E-003   0.1812744633E+000  -0.6671600000E-003   0.1159200000E-002
  -0.4655225370E+000  -0.1244723654E-003   0.2162725073E-003   0.1865704859E+000  -0.6671600000E-003   0.1159200000E-002
  -0.4581726752E+000  -0.1281920621E-003   0.2227355333E-003   0.1921459052E+000  -0.6671600000E-003   0.1159200000E-002
  -0.4508228134E+000  -0.1321108384E-003   0.2295444630E-003   0.1980197231E+000  -0.6671600000E-003   0.1159200000E-002
  -0.4434729516E+000  -0.1362422211E-003   0.2367227992E-003   0.2042122146E+000  -0.6671600000E-003   0.1159200000E-002
  -0.4361230898E+000  -0.1406005986E-003   0.2442955422E-003   0.2107449467E+000  -0.6671600000E-003   0.1159200000E-002
  -0.4287732280E+000  -0.1452012166E-003   0.2522891815E-003   0.2176407708E+000  -0.6671600000E-003   0.1159200000E-002
  -0.4214233662E+000  -0.1500601500E-003   0.2607316475E-003   0.2249237815E+000  -0.6671600000E-003   0.1159200000E-002
  -0.4140735044E+000  -0.1551942440E-003   0.2696522089E-003   0.2326192278E+000  -0.6671600000E-003   0.1159200000E-002
  -0.4067236426E+000  -0.1606210147E-003   0.2790813002E-003   0.2407533645E+000  -0.6671600000E-003   0.1159200000E-002
  -0.3993737807E+000  -0.1663584979E-003   0.2890502589E-003   0.2493532255E+000  -0.6671600000E-003   0.1159200000E-002
  -0.3920239189E+000  -0.1724250336E-003   0.2995909512E-003   0.2584463002E+000  -0.6671600000E-003   0.1159200000E-002
  -0.3846740571E+000  -0.1788389709E-003   0.3107352585E-003   0.2680600919E+000  -0.6671600000E-003   0.1159200000E-002
  -0.3773241953E+000  -0.1856182780E-003   0.3225144011E-003   0.2782215330E+000  -0.6671600000E-003   0.1159200000E-002
  -0.3699743335E+000  -0.1927800424E-003   0.3349580688E-003   0.2889562360E+000  -0.6671600000E-003   0.1159200000E-002
  -0.3626244699E+000  -0.2003398491E-003   0.3480933406E-003   0.3002875609E+000  -0.6671600000E-003   0.1159200000E-002
  -0.3552746081E+000  -0.2083110165E-003   0.3619433574E-003   0.3122354705E+000  -0.6671600000E-003   0.1159200000E-002
  -0.3479247463E+000  -0.2167037177E-003   0.3765257952E-003   0.3248152133E+000  -0.6671600000E-003   0.1159200000E-002
  -0.3405748845E+000  -0.2255239617E-003   0.3918510949E-003   0.3380357961E+000  -0.6671600000E-003   0.1159200000E-002
  -0.3332250227E+000  -0.2347724916E-003   0.4079205472E-003   0.3518983327E+000  -0.6671600000E-003   0.1159200000E-002
  -0.3258751609E+000  -0.2444436398E-003   0.4247243050E-003   0.3663943280E+000  -0.6671600000E-003   0.1159200000E-002
  -0.3185252991E+000  -0.2545242211E-003   0.4422394585E-003   0.3815040187E+000  -0.6671600000E-003   0.1159200000E-002
  -0.3111754373E+000  -0.2649925642E-003   0.4604283537E-003   0.3971949221E+000  -0.6671600000E-003   0.1159200000E-002
